end_date_year_month,start_date_year_month,start_date_year_quarter,end_date_year_quarter,start_date_quarter,start_date_year,id,start_date,start_date_month,end_date,end_date_month,end_date_quarter,end_date_year,service_division_owner,service_result,ward_id,estimated_cost,Ward Name,Latitude,Longitude
2009 Jan,2009 Jan,2009 Q1,2009 Q1,Q1,2009,13992,2009-01-01,January,2009-01-17,January,Q1,2009,Transportation Services,FAIL,22,4000,Scarborough–Agincourt,43.8,-79.27
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,17697,2009-01-01,January,2009-04-29,April,Q2,2009,"Parks, Forestry & Recreation",FAIL,4,27000,Parkdale–High Park,43.65,-79.46
2009 Jan,2009 Jan,2009 Q1,2009 Q1,Q1,2009,2026,2009-01-02,January,2009-01-10,January,Q1,2009,Transportation Services,FAIL,1,264000,Etobicoke North,43.733,-79.565
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,5913,2009-01-02,January,2009-03-25,March,Q1,2009,Solid Waste Management,PASS,8,22000,Eglinton–Lawrence,43.72,-79.43
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,18907,2009-01-02,January,2009-02-11,February,Q1,2009,Toronto Water,FAIL,7,228000,Humber River–Black Creek,43.74,-79.52
2009 Jun,2009 Jan,2009 Q1,2009 Q2,Q1,2009,14,2009-01-03,January,2009-06-11,June,Q2,2009,"Parks, Forestry & Recreation",FAIL,1,148000,Etobicoke North,43.733,-79.565
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,19274,2009-01-03,January,2009-02-27,February,Q1,2009,"Parks, Forestry & Recreation",PASS,6,237000,York Centre,43.75,-79.45
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,13405,2009-01-05,January,2009-03-10,March,Q1,2009,Municipal Licensing & Standards,PASS,23,9000,Scarborough North,43.82,-79.24
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,5950,2009-01-06,January,2009-02-16,February,Q1,2009,Toronto Water,PASS,5,55000,York South–Weston,43.7,-79.49
2009 Jan,2009 Jan,2009 Q1,2009 Q1,Q1,2009,6832,2009-01-06,January,2009-01-17,January,Q1,2009,Toronto Water,PASS,9,192000,Davenport,43.67,-79.44
2009 Jan,2009 Jan,2009 Q1,2009 Q1,Q1,2009,1649,2009-01-07,January,2009-01-17,January,Q1,2009,Toronto Water,PASS,9,31000,Davenport,43.67,-79.44
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,2374,2009-01-07,January,2009-03-19,March,Q1,2009,Solid Waste Management,PASS,17,10000,Don Valley North,43.78,-79.35
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,2600,2009-01-07,January,2009-02-22,February,Q1,2009,Solid Waste Management,PASS,5,219000,York South–Weston,43.7,-79.49
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,15776,2009-01-07,January,2009-03-26,March,Q1,2009,Municipal Licensing & Standards,PASS,3,75000,Etobicoke–Lakeshore,43.62,-79.51
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,5269,2009-01-10,January,2009-04-12,April,Q2,2009,Transportation Services,PASS,10,174000,Spadina–Fort York,43.64,-79.39
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,8978,2009-01-10,January,2009-02-12,February,Q1,2009,Transportation Services,FAIL,14,3000,Toronto–Danforth,43.68,-79.34
2009 Jan,2009 Jan,2009 Q1,2009 Q1,Q1,2009,12346,2009-01-10,January,2009-01-27,January,Q1,2009,Toronto Water,PASS,18,168000,Willowdale,43.77,-79.41
2009 May,2009 Jan,2009 Q1,2009 Q2,Q1,2009,378,2009-01-11,January,2009-05-07,May,Q2,2009,Toronto Water,PASS,7,108000,Humber River–Black Creek,43.74,-79.52
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,2695,2009-01-11,January,2009-04-10,April,Q2,2009,Toronto Water,FAIL,10,190000,Spadina–Fort York,43.64,-79.39
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,3277,2009-01-11,January,2009-03-29,March,Q1,2009,Solid Waste Management,PASS,6,62000,York Centre,43.75,-79.45
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,7684,2009-01-11,January,2009-03-02,March,Q1,2009,Municipal Licensing & Standards,PASS,14,6000,Toronto–Danforth,43.68,-79.34
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,11500,2009-01-11,January,2009-04-25,April,Q2,2009,Transportation Services,FAIL,7,12000,Humber River–Black Creek,43.74,-79.52
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,14542,2009-01-11,January,2009-04-12,April,Q2,2009,"Parks, Forestry & Recreation",PASS,4,152000,Parkdale–High Park,43.65,-79.46
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,15110,2009-01-12,January,2009-02-20,February,Q1,2009,Transportation Services,PASS,18,142000,Willowdale,43.77,-79.41
2009 May,2009 Jan,2009 Q1,2009 Q2,Q1,2009,2716,2009-01-13,January,2009-05-04,May,Q2,2009,Municipal Licensing & Standards,FAIL,5,129000,York South–Weston,43.7,-79.49
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,8879,2009-01-13,January,2009-04-14,April,Q2,2009,"Parks, Forestry & Recreation",FAIL,18,63000,Willowdale,43.77,-79.41
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,94,2009-01-14,January,2009-03-21,March,Q1,2009,"Parks, Forestry & Recreation",PASS,18,159000,Willowdale,43.77,-79.41
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,14694,2009-01-14,January,2009-04-22,April,Q2,2009,"Parks, Forestry & Recreation",PASS,4,267000,Parkdale–High Park,43.65,-79.46
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,7074,2009-01-15,January,2009-04-13,April,Q2,2009,"Parks, Forestry & Recreation",PASS,17,2000,Don Valley North,43.78,-79.35
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,10500,2009-01-15,January,2009-04-04,April,Q2,2009,Toronto Water,PASS,23,16000,Scarborough North,43.82,-79.24
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,13296,2009-01-15,January,2009-03-08,March,Q1,2009,Toronto Water,FAIL,20,20000,Scarborough Southwest,43.71,-79.26
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,14884,2009-01-15,January,2009-04-13,April,Q2,2009,Solid Waste Management,PASS,11,58000,University–Rosedale,43.67,-79.4
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,19005,2009-01-15,January,2009-04-24,April,Q2,2009,Transportation Services,PASS,9,26000,Davenport,43.67,-79.44
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,7634,2009-01-16,January,2009-04-09,April,Q2,2009,Toronto Water,PASS,23,90000,Scarborough North,43.82,-79.24
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,9790,2009-01-16,January,2009-02-19,February,Q1,2009,Solid Waste Management,PASS,2,56000,Etobicoke Centre,43.67,-79.55
2009 Jan,2009 Jan,2009 Q1,2009 Q1,Q1,2009,14984,2009-01-16,January,2009-01-24,January,Q1,2009,Toronto Water,PASS,19,120000,Beaches–East York,43.68,-79.3
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,8394,2009-01-17,January,2009-03-31,March,Q1,2009,Solid Waste Management,PASS,6,90000,York Centre,43.75,-79.45
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,12129,2009-01-18,January,2009-04-01,April,Q2,2009,"Parks, Forestry & Recreation",PASS,13,58000,Toronto Centre,43.66,-79.37
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,15749,2009-01-18,January,2009-02-11,February,Q1,2009,Transportation Services,PASS,2,180000,Etobicoke Centre,43.67,-79.55
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,5884,2009-01-20,January,2009-02-11,February,Q1,2009,Transportation Services,FAIL,10,63000,Spadina–Fort York,43.64,-79.39
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,11328,2009-01-20,January,2009-04-27,April,Q2,2009,Solid Waste Management,PASS,13,13000,Toronto Centre,43.66,-79.37
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,16931,2009-01-20,January,2009-03-30,March,Q1,2009,Transportation Services,PASS,16,86000,Don Valley East,43.75,-79.34
2009 May,2009 Jan,2009 Q1,2009 Q2,Q1,2009,18039,2009-01-20,January,2009-05-11,May,Q2,2009,Transportation Services,FAIL,5,35000,York South–Weston,43.7,-79.49
2009 Jun,2009 Jan,2009 Q1,2009 Q2,Q1,2009,1469,2009-01-21,January,2009-06-09,June,Q2,2009,"Parks, Forestry & Recreation",PASS,5,69000,York South–Weston,43.7,-79.49
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,6578,2009-01-21,January,2009-03-06,March,Q1,2009,Transportation Services,FAIL,25,142000,Scarborough–Rouge Park,43.81,-79.13
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,17838,2009-01-21,January,2009-03-23,March,Q1,2009,Toronto Water,FAIL,15,10000,Don Valley West,43.72,-79.36
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,947,2009-01-22,January,2009-02-08,February,Q1,2009,Toronto Water,PASS,10,5000,Spadina–Fort York,43.64,-79.39
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,5300,2009-01-22,January,2009-04-23,April,Q2,2009,Toronto Water,PASS,3,74000,Etobicoke–Lakeshore,43.62,-79.51
2009 May,2009 Jan,2009 Q1,2009 Q2,Q1,2009,9819,2009-01-22,January,2009-05-06,May,Q2,2009,Solid Waste Management,PASS,21,80000,Scarborough Centre,43.76,-79.25
2009 Jun,2009 Jan,2009 Q1,2009 Q2,Q1,2009,8092,2009-01-23,January,2009-06-20,June,Q2,2009,"Parks, Forestry & Recreation",PASS,22,29000,Scarborough–Agincourt,43.8,-79.27
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,4645,2009-01-24,January,2009-03-28,March,Q1,2009,Toronto Water,PASS,21,237000,Scarborough Centre,43.76,-79.25
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,15576,2009-01-24,January,2009-04-03,April,Q2,2009,"Parks, Forestry & Recreation",PASS,4,170000,Parkdale–High Park,43.65,-79.46
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,9943,2009-01-26,January,2009-03-29,March,Q1,2009,Solid Waste Management,FAIL,5,146000,York South–Weston,43.7,-79.49
2009 May,2009 Jan,2009 Q1,2009 Q2,Q1,2009,10032,2009-01-26,January,2009-05-20,May,Q2,2009,Municipal Licensing & Standards,PASS,5,57000,York South–Weston,43.7,-79.49
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,11198,2009-01-26,January,2009-02-26,February,Q1,2009,Solid Waste Management,FAIL,25,186000,Scarborough–Rouge Park,43.81,-79.13
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,17120,2009-01-26,January,2009-04-12,April,Q2,2009,Transportation Services,PASS,19,54000,Beaches–East York,43.68,-79.3
2009 May,2009 Jan,2009 Q1,2009 Q2,Q1,2009,2435,2009-01-27,January,2009-05-03,May,Q2,2009,Toronto Water,FAIL,11,56000,University–Rosedale,43.67,-79.4
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,3808,2009-01-27,January,2009-03-09,March,Q1,2009,Toronto Water,PASS,20,93000,Scarborough Southwest,43.71,-79.26
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,13596,2009-01-27,January,2009-03-01,March,Q1,2009,Toronto Water,PASS,20,174000,Scarborough Southwest,43.71,-79.26
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,3047,2009-01-28,January,2009-03-18,March,Q1,2009,Toronto Water,PASS,22,102000,Scarborough–Agincourt,43.8,-79.27
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,14720,2009-01-28,January,2009-04-11,April,Q2,2009,Transportation Services,PASS,1,129000,Etobicoke North,43.733,-79.565
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,16415,2009-01-28,January,2009-04-12,April,Q2,2009,Transportation Services,FAIL,8,225000,Eglinton–Lawrence,43.72,-79.43
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,13975,2009-01-29,January,2009-04-02,April,Q2,2009,"Parks, Forestry & Recreation",FAIL,4,40000,Parkdale–High Park,43.65,-79.46
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,17826,2009-01-29,January,2009-04-07,April,Q2,2009,Solid Waste Management,PASS,7,24000,Humber River–Black Creek,43.74,-79.52
2009 Mar,2009 Jan,2009 Q1,2009 Q1,Q1,2009,10523,2009-01-30,January,2009-03-18,March,Q1,2009,Solid Waste Management,PASS,13,198000,Toronto Centre,43.66,-79.37
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,16498,2009-01-30,January,2009-04-10,April,Q2,2009,Solid Waste Management,PASS,1,35000,Etobicoke North,43.733,-79.565
2009 Apr,2009 Jan,2009 Q1,2009 Q2,Q1,2009,6776,2009-01-31,January,2009-04-25,April,Q2,2009,"Parks, Forestry & Recreation",PASS,3,93000,Etobicoke–Lakeshore,43.62,-79.51
2009 Feb,2009 Jan,2009 Q1,2009 Q1,Q1,2009,11920,2009-01-31,January,2009-02-01,February,Q1,2009,Toronto Water,PASS,11,69000,University–Rosedale,43.67,-79.4
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,3153,2009-02-01,February,2009-04-13,April,Q2,2009,"Parks, Forestry & Recreation",PASS,9,249000,Davenport,43.67,-79.44
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,18759,2009-02-01,February,2009-03-04,March,Q1,2009,Toronto Water,FAIL,8,96000,Eglinton–Lawrence,43.72,-79.43
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,2827,2009-02-02,February,2009-04-03,April,Q2,2009,"Parks, Forestry & Recreation",PASS,11,87000,University–Rosedale,43.67,-79.4
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,6820,2009-02-02,February,2009-04-27,April,Q2,2009,Transportation Services,FAIL,1,142000,Etobicoke North,43.733,-79.565
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,15626,2009-02-02,February,2009-04-27,April,Q2,2009,Solid Waste Management,PASS,25,112000,Scarborough–Rouge Park,43.81,-79.13
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,16087,2009-02-02,February,2009-05-28,May,Q2,2009,Transportation Services,PASS,2,138000,Etobicoke Centre,43.67,-79.55
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,10880,2009-02-03,February,2009-03-29,March,Q1,2009,Transportation Services,PASS,12,288000,Toronto–St. Paul's,43.69,-79.41
2009 Feb,2009 Feb,2009 Q1,2009 Q1,Q1,2009,13799,2009-02-03,February,2009-02-08,February,Q1,2009,Toronto Water,FAIL,13,81000,Toronto Centre,43.66,-79.37
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,17150,2009-02-03,February,2009-04-23,April,Q2,2009,Toronto Water,PASS,25,105000,Scarborough–Rouge Park,43.81,-79.13
2009 Jul,2009 Feb,2009 Q1,2009 Q3,Q1,2009,10297,2009-02-04,February,2009-07-04,July,Q3,2009,"Parks, Forestry & Recreation",PASS,14,112000,Toronto–Danforth,43.68,-79.34
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,15916,2009-02-04,February,2009-05-04,May,Q2,2009,Municipal Licensing & Standards,PASS,20,156000,Scarborough Southwest,43.71,-79.26
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,18622,2009-02-04,February,2009-04-25,April,Q2,2009,"Parks, Forestry & Recreation",PASS,4,81000,Parkdale–High Park,43.65,-79.46
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,18516,2009-02-05,February,2009-04-29,April,Q2,2009,Toronto Water,FAIL,13,159000,Toronto Centre,43.66,-79.37
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,11707,2009-02-06,February,2009-05-19,May,Q2,2009,Transportation Services,PASS,4,165000,Parkdale–High Park,43.65,-79.46
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,14178,2009-02-06,February,2009-05-20,May,Q2,2009,"Parks, Forestry & Recreation",PASS,4,72000,Parkdale–High Park,43.65,-79.46
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,16383,2009-02-06,February,2009-04-08,April,Q2,2009,"Parks, Forestry & Recreation",PASS,4,180000,Parkdale–High Park,43.65,-79.46
2009 Feb,2009 Feb,2009 Q1,2009 Q1,Q1,2009,13368,2009-02-08,February,2009-02-24,February,Q1,2009,Transportation Services,PASS,18,288000,Willowdale,43.77,-79.41
2009 Feb,2009 Feb,2009 Q1,2009 Q1,Q1,2009,4447,2009-02-09,February,2009-02-18,February,Q1,2009,Transportation Services,PASS,10,74000,Spadina–Fort York,43.64,-79.39
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,12760,2009-02-10,February,2009-04-24,April,Q2,2009,"Parks, Forestry & Recreation",PASS,13,21000,Toronto Centre,43.66,-79.37
2009 Feb,2009 Feb,2009 Q1,2009 Q1,Q1,2009,14999,2009-02-11,February,2009-02-20,February,Q1,2009,Toronto Water,FAIL,3,75000,Etobicoke–Lakeshore,43.62,-79.51
2009 Feb,2009 Feb,2009 Q1,2009 Q1,Q1,2009,7674,2009-02-12,February,2009-02-25,February,Q1,2009,Municipal Licensing & Standards,PASS,18,201000,Willowdale,43.77,-79.41
2009 Feb,2009 Feb,2009 Q1,2009 Q1,Q1,2009,9761,2009-02-12,February,2009-02-28,February,Q1,2009,Transportation Services,PASS,8,12000,Eglinton–Lawrence,43.72,-79.43
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,16062,2009-02-13,February,2009-05-29,May,Q2,2009,Transportation Services,PASS,17,246000,Don Valley North,43.78,-79.35
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,1920,2009-02-14,February,2009-05-21,May,Q2,2009,Transportation Services,PASS,14,159000,Toronto–Danforth,43.68,-79.34
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,8272,2009-02-14,February,2009-03-20,March,Q1,2009,Toronto Water,PASS,10,27000,Spadina–Fort York,43.64,-79.39
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,9296,2009-02-14,February,2009-04-25,April,Q2,2009,Municipal Licensing & Standards,PASS,16,76000,Don Valley East,43.75,-79.34
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,14194,2009-02-14,February,2009-03-29,March,Q1,2009,Solid Waste Management,FAIL,7,176000,Humber River–Black Creek,43.74,-79.52
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,16945,2009-02-14,February,2009-05-26,May,Q2,2009,Solid Waste Management,PASS,13,160000,Toronto Centre,43.66,-79.37
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,12234,2009-02-15,February,2009-05-16,May,Q2,2009,"Parks, Forestry & Recreation",PASS,25,116000,Scarborough–Rouge Park,43.81,-79.13
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,7426,2009-02-16,February,2009-05-19,May,Q2,2009,Toronto Water,PASS,8,24000,Eglinton–Lawrence,43.72,-79.43
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,3112,2009-02-17,February,2009-03-07,March,Q1,2009,Municipal Licensing & Standards,PASS,2,60000,Etobicoke Centre,43.67,-79.55
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,3615,2009-02-18,February,2009-03-09,March,Q1,2009,Municipal Licensing & Standards,PASS,13,30000,Toronto Centre,43.66,-79.37
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,7670,2009-02-18,February,2009-04-29,April,Q2,2009,"Parks, Forestry & Recreation",PASS,4,10000,Parkdale–High Park,43.65,-79.46
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,8723,2009-02-19,February,2009-05-16,May,Q2,2009,Municipal Licensing & Standards,PASS,21,84000,Scarborough Centre,43.76,-79.25
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,13728,2009-02-19,February,2009-05-10,May,Q2,2009,"Parks, Forestry & Recreation",PASS,4,135000,Parkdale–High Park,43.65,-79.46
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,18782,2009-02-19,February,2009-03-17,March,Q1,2009,Solid Waste Management,PASS,4,186000,Parkdale–High Park,43.65,-79.46
2009 Feb,2009 Feb,2009 Q1,2009 Q1,Q1,2009,20105,2009-02-19,February,2009-02-27,February,Q1,2009,Toronto Water,PASS,13,64000,Toronto Centre,43.66,-79.37
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,566,2009-02-20,February,2009-03-05,March,Q1,2009,Solid Waste Management,PASS,6,176000,York Centre,43.75,-79.45
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,17433,2009-02-21,February,2009-04-24,April,Q2,2009,Toronto Water,PASS,8,56000,Eglinton–Lawrence,43.72,-79.43
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,12447,2009-02-22,February,2009-03-14,March,Q1,2009,Solid Waste Management,FAIL,16,32000,Don Valley East,43.75,-79.34
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,532,2009-02-23,February,2009-03-30,March,Q1,2009,Transportation Services,PASS,15,46000,Don Valley West,43.72,-79.36
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,3651,2009-02-24,February,2009-04-23,April,Q2,2009,Solid Waste Management,PASS,4,34000,Parkdale–High Park,43.65,-79.46
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,10124,2009-02-24,February,2009-05-01,May,Q2,2009,Solid Waste Management,PASS,10,30000,Spadina–Fort York,43.64,-79.39
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,17079,2009-02-25,February,2009-04-04,April,Q2,2009,Solid Waste Management,PASS,15,28000,Don Valley West,43.72,-79.36
2009 Jul,2009 Feb,2009 Q1,2009 Q3,Q1,2009,20272,2009-02-25,February,2009-07-15,July,Q3,2009,"Parks, Forestry & Recreation",PASS,13,24000,Toronto Centre,43.66,-79.37
2009 Jun,2009 Feb,2009 Q1,2009 Q2,Q1,2009,20273,2009-02-25,February,2009-06-01,June,Q2,2009,"Parks, Forestry & Recreation",PASS,13,24000,Toronto Centre,43.66,-79.37
2009 Jun,2009 Feb,2009 Q1,2009 Q2,Q1,2009,20274,2009-02-25,February,2009-06-20,June,Q2,2009,"Parks, Forestry & Recreation",PASS,13,24000,Toronto Centre,43.66,-79.37
2009 Mar,2009 Feb,2009 Q1,2009 Q1,Q1,2009,1858,2009-02-26,February,2009-03-26,March,Q1,2009,Municipal Licensing & Standards,PASS,19,84000,Beaches–East York,43.68,-79.3
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,5109,2009-02-26,February,2009-04-16,April,Q2,2009,Transportation Services,PASS,10,297000,Spadina–Fort York,43.64,-79.39
2009 Jun,2009 Feb,2009 Q1,2009 Q2,Q1,2009,8761,2009-02-26,February,2009-06-18,June,Q2,2009,"Parks, Forestry & Recreation",PASS,9,189000,Davenport,43.67,-79.44
2009 Apr,2009 Feb,2009 Q1,2009 Q2,Q1,2009,6902,2009-02-27,February,2009-04-09,April,Q2,2009,Municipal Licensing & Standards,PASS,4,176000,Parkdale–High Park,43.65,-79.46
2009 May,2009 Feb,2009 Q1,2009 Q2,Q1,2009,11940,2009-02-28,February,2009-05-22,May,Q2,2009,Toronto Water,FAIL,22,194000,Scarborough–Agincourt,43.8,-79.27
2009 Jun,2009 Mar,2009 Q1,2009 Q2,Q1,2009,3092,2009-03-01,March,2009-06-26,June,Q2,2009,Toronto Water,PASS,3,7000,Etobicoke–Lakeshore,43.62,-79.51
2009 Apr,2009 Mar,2009 Q1,2009 Q2,Q1,2009,3505,2009-03-01,March,2009-04-10,April,Q2,2009,Toronto Water,FAIL,9,40000,Davenport,43.67,-79.44
2009 Jun,2009 Mar,2009 Q1,2009 Q2,Q1,2009,5431,2009-03-01,March,2009-06-15,June,Q2,2009,Solid Waste Management,PASS,16,67000,Don Valley East,43.75,-79.34
2009 Apr,2009 Mar,2009 Q1,2009 Q2,Q1,2009,6358,2009-03-01,March,2009-04-15,April,Q2,2009,Solid Waste Management,FAIL,5,90000,York South–Weston,43.7,-79.49
2009 Jun,2009 Mar,2009 Q1,2009 Q2,Q1,2009,9999,2009-03-01,March,2009-06-22,June,Q2,2009,"Parks, Forestry & Recreation",PASS,6,159000,York Centre,43.75,-79.45
2009 Aug,2009 Mar,2009 Q1,2009 Q3,Q1,2009,11378,2009-03-01,March,2009-08-01,August,Q3,2009,"Parks, Forestry & Recreation",FAIL,12,108000,Toronto–St. Paul's,43.69,-79.41
2009 May,2009 Mar,2009 Q1,2009 Q2,Q1,2009,12262,2009-03-01,March,2009-05-24,May,Q2,2009,Municipal Licensing & Standards,FAIL,24,132000,Scarborough–Guildwood,43.74,-79.22
2009 Mar,2009 Mar,2009 Q1,2009 Q1,Q1,2009,17809,2009-03-01,March,2009-03-11,March,Q1,2009,Toronto Water,FAIL,21,84000,Scarborough Centre,43.76,-79.25
2009 May,2009 Mar,2009 Q1,2009 Q2,Q1,2009,19385,2009-03-01,March,2009-05-27,May,Q2,2009,Transportation Services,PASS,14,71000,Toronto–Danforth,43.68,-79.34
2009 May,2009 Mar,2009 Q1,2009 Q2,Q1,2009,1126,2009-03-02,March,2009-05-24,May,Q2,2009,"Parks, Forestry & Recreation",PASS,7,120000,Humber River–Black Creek,43.74,-79.52
2009 Apr,2009 Mar,2009 Q1,2009 Q2,Q1,2009,4321,2009-03-02,March,2009-04-25,April,Q2,2009,Toronto Water,PASS,5,186000,York South–Weston,43.7,-79.49
2009 Jun,2009 Mar,2009 Q1,2009 Q2,Q1,2009,4907,2009-03-02,March,2009-06-04,June,Q2,2009,Transportation Services,PASS,10,74000,Spadina–Fort York,43.64,-79.39
2009 Apr,2009 Mar,2009 Q1,2009 Q2,Q1,2009,11390,2009-03-02,March,2009-04-17,April,Q2,2009,Transportation Services,PASS,14,192000,Toronto–Danforth,43.68,-79.34
2009 May,2009 Mar,2009 Q1,2009 Q2,Q1,2009,13417,2009-03-02,March,2009-05-22,May,Q2,2009,Solid Waste Management,PASS,5,120000,York South–Weston,43.7,-79.49
2009 Jun,2009 Mar,2009 Q1,2009 Q2,Q1,2009,1122,2009-03-03,March,2009-06-28,June,Q2,2009,Solid Waste Management,PASS,10,198000,Spadina–Fort York,43.64,-79.39
2009 Jun,2009 Mar,2009 Q1,2009 Q2,Q1,2009,4399,2009-03-03,March,2009-06-29,June,Q2,2009,Toronto Water,PASS,21,62000,Scarborough Centre,43.76,-79.25
2009 Apr,2009 Mar,2009 Q1,2009 Q2,Q1,2009,8047,2009-03-03,March,2009-04-21,April,Q2,2009,Municipal Licensing & Standards,PASS,20,180000,Scarborough Southwest,43.71,-79.26
2009 Apr,2009 Mar,2009 Q1,2009 Q2,Q1,2009,15770,2009-03-03,March,2009-04-03,April,Q2,2009,Toronto Water,PASS,10,58000,Spadina–Fort York,43.64,-79.39
2009 Mar,2009 Mar,2009 Q1,2009 Q1,Q1,2009,16940,2009-03-03,March,2009-03-18,March,Q1,2009,Solid Waste Management,PASS,10,144000,Spadina–Fort York,43.64,-79.39
